start_time,close,date,high,low,open,volume
1570752000000,8275.75166491,2019-10-11,8832.89278768,8227.02392492,8587.54695807,113192.38876125898
1570838400000,8307.30588961,2019-10-12,8417.196395,8259.18823475,8268.20998701,36938.911499837646
1570924800000,8284.53302475,2019-10-13,8468.59524759,8164.14338264,8320.57802388,55095.63638113864
1571011200000,8355.66318719,2019-10-14,8406.84080202,8212.34858234,8285.58410001,53278.431480265725
1571097600000,8166.72657541,2019-10-15,8417.41678034,8089.98530548,8353.20211326,69422.10454983388
1571184000000,7997.87364858,2019-10-16,8199.90035756,7920.35486013,8161.88822641,73415.84789715824
1571270400000,8076.52397842,2019-10-17,8136.92508221,7931.60930061,8001.67834553,51760.11257795103
1571356800000,7955.88043567,2019-10-18,8121.42040574,7819.46713524,8073.76325026,65064.01403990925
1571443200000,7958.01405034,2019-10-19,8116.484671,7877.92497086,7970.6487409,49272.3785488196
1571529600000,8235.52279765,2019-10-20,8311.26343547,7885.50213005,7961.57837374,65305.820946603955
1571616000000,8221.08411878,2019-10-21,8360.71726779,8154.85816557,8254.13927486,56274.05949352555
1571702400000,8028.98810294,2019-10-22,8324.5869729,8005.27003737,8223.00051127,63261.36015384445
1571788800000,7469.39789992,2019-10-23,8075.80566368,7307.43358477,8025.55140795,160269.27160159397
1571875200000,7435.49968866,2019-10-24,7520.64889099,7355.06856032,7472.02181099,67721.4948900142
1571961600000,8657.98860195,2019-10-25,8823.84315765,7391.67078421,7427.02854623,221869.35289113128
1572048000000,9259.26365768,2019-10-26,10505.41925501,8648.34457031,8671.44122142,407290.3214000045
1572134400000,9551.27370585,2019-10-27,9825.74018718,9100.248942,9254.51708376,183479.1860304936
1572220800000,9223.37936263,2019-10-28,9937.06852324,9187.32060439,9554.76856352,163112.87464691966
1572307200000,9430.13625517,2019-10-29,9560.38971114,9076.46856538,9223.6632824,126235.48885426093
1572393600000,9166.30108904,2019-10-30,9437.04059147,9009.17915052,9433.47951039,106337.25599771584
1572480000000,9153.09296214,2019-10-31,9441.51806979,8949.45011956,9186.30574936,105570.512550951
1572566400000,9270.14229229,2019-11-01,9319.35670884,9054.25805474,9156.06915183,86311.19866542812
1572652800000,9301.15081236,2019-11-02,9411.08043728,9187.63637369,9271.23422717,52410.680284578026
1572739200000,9212.70158352,2019-11-03,9401.12097203,9071.33428722,9294.54651488,51293.28213819856
1572825600000,9428.2217616,2019-11-04,9577.46328512,9122.94705042,9201.9956163,93799.46170763516
1572912000000,9311.27785921,2019-11-05,9493.15457631,9187.26749852,9397.59590583,86019.00534380709
1572998400000,9336.96010575,2019-11-06,9438.09454427,9253.26057026,9318.66880711,67947.75762265215
1573084800000,9212.10561882,2019-11-07,9380.93947781,9096.51084195,9338.19190055,66863.63821392843
1573171200000,8765.95796817,2019-11-08,9256.81841339,8661.96147506,9201.64899745,121352.80149419146
1573257600000,8818.29752455,2019-11-09,8886.8204081,8727.37650543,8774.90354358,50627.976353934326
1573344000000,9041.12469942,2019-11-10,9151.73843052,8738.04080675,8813.71699274,67719.34321435147
1573430400000,8732.97707294,2019-11-11,9092.65368888,8613.34829938,9039.83486394,81200.0394249942
1573516800000,8818.07785566,2019-11-12,8886.7832583,8561.41425794,8722.80654355,71938.7678126028
1573603200000,8786.40507153,2019-11-13,8848.03699928,8700.21909064,8824.09539364,47373.35335387125
1573689600000,8628.92565638,2019-11-14,8811.31412318,8562.40898413,8798.05313206,59567.64104316361
1573776000000,8481.04638556,2019-11-15,8785.29572262,8374.80830681,8631.41769756,96778.64477953482
1573862400000,8502.46032211,2019-11-16,8548.11251872,8419.366055,8459.15577045,36845.74138019025
1573948800000,8501.83764714,2019-11-17,8664.8784908,8376.89191456,8489.00734628,50223.285789597605
1574035200000,8172.24316865,2019-11-18,8519.69808957,8054.05204802,8501.09404313,89397.0368695545
1574121600000,8120.46698949,2019-11-19,8247.30616543,7991.75109945,8172.10003337,106851.97421870344
1574208000000,8095.78371277,2019-11-20,8252.82318559,8035.60822899,8122.83138887,82352.65001285853
1574294400000,7660.54605449,2019-11-21,8163.61805424,7457.47703352,8083.74396193,185378.0831756917
1574380800000,7299.13354864,2019-11-22,7760.28134476,6803.9639185,7647.22895,395457.8499211068
1574467200000,7319.68137396,2019-11-23,7383.09248063,7097.31277769,7298.86344408,139230.351819509
1574553600000,6940.74698726,2019-11-24,7362.7612935,6881.70371325,7326.34117078,184483.6755812813
1574640000000,7148.52291036,2019-11-25,7423.94590757,6530.45925996,6906.06483552,365521.16300307494
1574726400000,7161.99949142,2019-11-26,7381.56533047,7035.93065285,7116.97712734,177305.4382071562
1574812800000,7539.31495573,2019-11-27,7680.91131528,6850.59521818,7161.38268673,250187.82074382604
1574899200000,7420.63818963,2019-11-28,7673.81987879,7372.52541669,7543.15000043,143299.11556149006
1574985600000,7755.04055628,2019-11-29,7895.95018032,7390.87370718,7429.88479469,168814.20812504145
1575072000000,7542.84970844,2019-11-30,7823.89127438,7458.02184244,7746.39270645,118560.5604853466
1575158400000,7425.82366994,2019-12-01,7593.12606345,7254.54691399,7542.84368409,161668.62964314414
1575244800000,7302.34584914,2019-12-02,7443.50009483,7181.53214938,7401.15793186,122818.80811881954
1575331200000,7294.71650417,2019-12-03,7427.27416061,7242.84964069,7304.8775331,91308.89237677214
1575417600000,7199.49113693,2019-12-04,7811.98535128,7094.89044294,7299.22790281,238210.6915939356
1575504000000,7423.27268803,2019-12-05,7514.5107071,7165.9148952,7201.30176941,161262.4927809175
1575590400000,7533.94191073,2019-12-06,7621.72346334,7305.60137879,7428.15197357,137255.517499882
1575676800000,7529.83593116,2019-12-07,7631.67041319,7482.85744816,7534.12711107,78660.17573057472
1575763200000,7523.20309705,2019-12-08,7601.50746503,7381.00876364,7488.50159222,78311.47636250916
1575849600000,7340.08241644,2019-12-09,7699.00505163,7288.58965089,7546.19518304,135778.6888195853
1575936000000,7231.20909416,2019-12-10,7422.76497519,7159.82579632,7341.96486519,114281.60711353691
1576022400000,7215.66140829,2019-12-11,7302.56655878,7143.59752483,7223.73286894,78399.7071549634
1576108800000,7215.4462242,2019-12-12,7316.08591307,7102.28531186,7215.66151134,113818.2414775665
1576195200000,7250.26010043,2019-12-13,7314.58827508,7182.89001316,7195.83381219,71694.63339241098
1576281600000,7077.63867957,2019-12-14,7290.35656673,7007.149039,7256.66847307,72593.42477460885
1576368000000,7146.15635238,2019-12-15,7215.78715185,7013.08007994,7088.58700465,65219.95220623538
1576454400000,6884.2453344,2019-12-16,7171.82248332,6831.58764619,7136.00250402,130602.35898038012
1576540800000,6616.20416599,2019-12-17,6966.77088212,6581.42113192,6908.7144048,160424.3326524813
1576627200000,7313.05709713,2019-12-18,7462.28091654,6443.8194669,6647.93381328,276152.3840419547
1576713600000,7150.18379354,2019-12-19,7395.42005744,7035.49780423,7284.198902,147419.55297916682
1576800000000,7202.48821713,2019-12-20,7238.25210903,7077.4958992,7146.8521584,88033.16566442762
1576886400000,7133.03496656,2019-12-21,7212.49903329,7113.06626294,7210.63767108,46708.41127188119
1576972800000,7516.56829785,2019-12-22,7532.45689969,7123.87310487,7160.62990413,108497.6849780023
1577059200000,7335.51883779,2019-12-23,7711.98566562,7265.1474963,7526.94283011,187541.63078671735
1577145600000,7269.93443306,2019-12-24,7447.56610722,7151.65858751,7314.41779561,129966.86902240672
1577232000000,7195.48724878,2019-12-25,7285.05213347,7119.06051148,7269.963336,76236.6236784137
1577318400000,7201.4572808,2019-12-26,7455.71076694,7076.47628969,7196.99065677,108208.5854886968
1577404800000,7278.36949699,2019-12-27,7295.8288211,7048.22067667,7194.31075871,110940.37270879376
1577491200000,7296.47773615,2019-12-28,7385.6276354,7232.77517834,7274.50484337,75965.86400136638
1577577600000,7380.30944206,2019-12-29,7526.05396918,7271.9115848,7314.32593813,81342.24987236087
1577664000000,7213.38369848,2019-12-30,7420.01648801,7186.72134478,7379.7504955,83047.09750548254
1577750400000,7179.43521572,2019-12-31,7319.81225632,7113.4274057,7225.36708335,71247.15781030768
1577836800000,7195.20514935,2020-01-01,7274.53711193,7149.23990756,7193.01543918,42181.01694199189
1577923200000,6959.83987728,2020-01-02,7225.16277331,6916.2827111,7178.89204019,94865.83289600891
1578009600000,7335.89693738,2020-01-03,7416.38068397,6859.07332604,6948.7649751,193778.97918576113
1578096000000,7346.99463397,2020-01-04,7411.02999289,7268.38606031,7370.94430269,75901.77347160841
1578182400000,7355.16251487,2020-01-05,7497.51453431,7316.93980447,7363.28162173,99506.08466806864
1578268800000,7759.64073329,2020-01-06,7801.16554138,7339.17622046,7346.78472827,152871.5039073265
1578355200000,8153.77939281,2020-01-07,8217.49978807,7732.7494121,7759.40676879,250352.81166686624
1578441600000,8052.04029744,2020-01-08,8460.50181418,7868.09042597,8154.66126845,304122.6042650832
1578528000000,7818.34747818,2020-01-09,8053.21970548,7752.41882242,8052.49113934,159460.50453547755
1578614400000,8195.16399775,2020-01-10,8196.15739493,7669.12119018,7808.50765701,218240.53533640856
1578700800000,8018.25607127,2020-01-11,8285.32520699,8000.52467042,8194.40482328,141704.640496848
1578787200000,8179.09534216,2020-01-12,8190.51615758,7954.93080102,8014.21382979,88659.28695224048
1578873600000,8105.98228542,2020-01-13,8195.5031156,8047.56212074,8180.31035155,86415.18788081071
1578960000000,8787.76773418,2020-01-14,8881.80082208,8100.8175466,8104.90226578,362540.49255571625
1579046400000,8807.90196936,2020-01-15,8899.6467253,8548.50797625,8795.24566296,224194.7830758037
1579132800000,8714.58193627,2020-01-16,8846.01065603,8579.07991909,8809.16716246,136425.5226279452
1579219200000,8898.50643724,2020-01-17,9016.9523837,8661.36382782,8711.95843486,195000.8498771304
1579305600000,8912.98946144,2020-01-18,8987.59680998,8802.91552007,8895.37145004,100502.61036861256
1579392000000,8699.71350694,2020-01-19,9189.21673058,8469.08720582,8915.37224244,207965.5921938235
